2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '65010478762828X', '新疆卡纳思生物技术有限公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '91650100572522365T', '中国人民财产保险股份有限公司乌鲁木齐市分公司苏州路营销服务部', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '654224230830851', '托里县客运站', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '65420123073267X', '塔城地区建筑勘察设计有限公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '654223230811466', '新疆沙湾农村商业银行股份有限公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '65422467631355X', '托里县农丰种业有限责任公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '650104787614558', '新疆准星衡器有限公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '650104556459300', '乌鲁木齐一枝好生物科技有限公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '654223712996731', '中粮屯河股份有限公司沙湾番茄制品分公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '654201592839386', '塔城市启丰我家电器有限公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '65010456050117X', '新疆正龙永基混凝土技术工程有限公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '650104625554759', '德展大健康股份有限公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '650104625501112', '乌鲁木齐市金蟾兽药有限公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '650104663641044', '乌鲁木齐高新投资发展集团有限公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '650104773467446', '乌鲁木齐凯瑞克化工有限公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '654223792266244', '新疆西部热力集团金诚热力有限责任公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '650105552410091', '乌鲁木齐金利伟业商贸有限公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '650104697818135', '乌鲁木齐旭盛电子技术有限公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '650104670220299', '乌鲁木齐鑫金豪医疗器械有限公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '650104757691261', '乌鲁木齐新东祥商贸有限公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '650104299944507', '长城国兴金融租赁有限公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '650104595926346', '乌鲁木齐泰和建业电气设备有限公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '650104584796670', '乌鲁木齐锐鸿恒业贸易有限公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '654224057703495', '克拉玛依市联众商贸有限责任公司托里县分公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '650104589332189', '乌鲁木齐绿茵天地环保设备有限公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '650104773487797', '新疆五菱汽车销售服务有限公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '654226673427623', '和布克赛尔县建联矿业有限公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '654223770398756', '沙湾县宝捷燃气有限责任公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '650104693449555', '新疆通程路桥设计有限责任公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '650104778961275', '新疆华圣元医药科技有限公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '650104068809463', '乌鲁木齐市三禾鼎盛贸易有限公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '650104784674619', '乌鲁木齐京山商贸有限公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '652924568868945', '沙雅县兴雅污水处理有限责任公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '652901697811056', '阿克苏天山雪果果业有限公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '652901568879847', '阿克苏市旭日物流有限责任公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '65292659918217X', '拜城县农家富农机有限责任公司', '2016')
2018-08-31 16:46:23 - basic_db.py[line:76] - detail - INFO - insert into tb_credit(data_source,credit_level,reco_code,name,which_year) values ('XinJiang', 'A', '652927072238990', '乌什县玉龙畜牧养殖农牧民专业合作社', '2016')
